date,direction,service_type,time,primary_flight_number,primary_airline,codeshare_flight_numbers,codeshare_airlines,codeshare_count,origin,destination,status
2026-08-31,departure,cargo,15:35,3S 515,BOX,,,0,HKG,LEJ,Cancelled
2026-08-31,departure,cargo,15:40,5X 001,UPS,,,0,HKG,CGN → PHL,Dep 15:42
2026-08-31,departure,cargo,15:40,5X 019,UPS,,,0,HKG,CGN → PHL,Dep 15:58
2026-08-31,departure,cargo,16:05,5X 061,UPS,,,0,HKG,TPE → ANC → SDF,Dep 16:38
2026-08-31,departure,cargo,16:10,P9 881,MGE,,,0,HKG,GUM,Est at 23:00 (01/09/2026)
2026-08-31,departure,cargo,16:25,ET 3685,ETH,,,0,HKG,ADD,Dep 15:57
2026-08-31,departure,cargo,16:40,KE 312,KAL,,,0,HKG,ICN,Dep 16:30
2026-08-31,departure,cargo,16:40,EK 9797,UAE,,,0,HKG,DWC,Dep 21:43
2026-08-31,departure,cargo,16:45,RH 6651,HKC,,,0,HKG,DAC,Dep 17:11
2026-08-31,departure,cargo,17:15,3S 519,BOX,,,0,HKG,LEJ,Dep 17:05
2026-08-31,departure,cargo,17:15,QR 8401,QTR,,,0,HKG,DOH,Dep 17:19
2026-08-31,departure,cargo,17:50,CV 278,CLX,,,0,HKG,ANC → ORD → LUX,Dep 17:31
2026-08-31,departure,cargo,18:00,TH 641,RMY,,,0,HKG,KUL,Dep 18:37
2026-08-31,departure,cargo,18:20,CX 2041,CPA,,,0,HKG,MAA,Dep 21:07
2026-08-31,departure,cargo,18:40,EK 9851,UAE,,,0,HKG,DWC,Dep 22:23
2026-08-31,departure,cargo,19:05,5X 063,UPS,,,0,HKG,ANC → SDF,Dep 19:06
2026-08-31,departure,cargo,19:20,HE 1710,HGO,,,0,HKG,GYD,Dep 19:54
2026-08-31,departure,cargo,19:30,2C 575,CMA,,,0,HKG,ESB → CDG,Cancelled
2026-08-31,departure,cargo,19:45,AK 8546,AXM,,,0,HKG,KUL,Dep 19:37
2026-08-31,departure,cargo,19:45,5X 059,UPS,,,0,HKG,ANC → ONT,Dep 19:36
2026-08-31,departure,cargo,19:50,FX 5991,FDX,,,0,HKG,KIX → OAK,Dep 20:00
2026-08-31,departure,cargo,20:25,7L 147,AZG,,,0,HKG,GYD,Cancelled
2026-08-31,departure,cargo,20:45,CX 054,CPA,,,0,HKG,CGO → PVG,Dep 21:00
2026-08-31,departure,cargo,20:50,QY 539,BCS,,,0,HKG,ALA → LEJ,Dep 20:45
2026-08-31,departure,cargo,20:50,3V 400,TAY,,,0,HKG,ALA → LGG,Cancelled
2026-08-31,departure,cargo,21:05,5Y 8692,GTI,,,0,HKG,ANC,Est at 18:30 (01/09/2026)
2026-08-31,departure,cargo,21:15,EK 9837,UAE,,,0,HKG,DWC,Dep 22:54
2026-08-31,departure,cargo,21:20,RH 351,HKC,,,0,HKG,MNL,Dep 22:19
2026-08-31,departure,cargo,21:20,MB 630,MNB,,,0,HKG,CRZ → IST,Cancelled
2026-08-31,departure,cargo,21:25,K4 702,CKS,,,0,HKG,GYD → TLV,Dep 20:55
2026-08-31,departure,cargo,21:30,ET 3229,ETH,,,0,HKG,ADD,Cancelled
2026-08-31,departure,cargo,21:35,CX 3262,CPA,,,0,HKG,CKG,Dep 22:44
2026-08-31,departure,cargo,21:40,3S 536,BOX,,,0,HKG,CVG,Dep 21:55
2026-08-31,departure,cargo,22:00,CV 7331,CLX,,,0,HKG,NQZ → LUX,Dep 06:53 (01/09/2026)
2026-08-31,departure,cargo,22:05,QR 8431,QTR,,,0,HKG,DOH,Dep 00:07 (01/09/2026)
